id;value;description;emotico;emotico_content_type
1;15074;lavender payment white;../fake-data/blob/hipster.png;image/png
2;96609;Polarised Armenian;../fake-data/blob/hipster.png;image/png
3;30820;Gorgeous Executive;../fake-data/blob/hipster.png;image/png
4;33182;Multi-lateral;../fake-data/blob/hipster.png;image/png
5;52048;Checking Liaison;../fake-data/blob/hipster.png;image/png
6;13609;invoice;../fake-data/blob/hipster.png;image/png
7;53508;monitoring;../fake-data/blob/hipster.png;image/png
8;98397;Balboa;../fake-data/blob/hipster.png;image/png
9;48420;Global Rwanda;../fake-data/blob/hipster.png;image/png
10;93282;bus;../fake-data/blob/hipster.png;image/png
