id;start;jhi_end;place
1;2022-07-29T10:37:36;2022-07-29T12:38:13;BABY_CONFORT
2;2022-07-29T09:18:13;2022-07-29T02:43:01;BABY_CRIB
3;2022-07-29T20:51:20;2022-07-29T14:11:22;BABY_CRIB
4;2022-07-29T22:01:07;2022-07-29T15:43:02;BABY_CONFORT
5;2022-07-29T01:01:09;2022-07-29T20:52:06;CART
6;2022-07-28T23:47:09;2022-07-29T02:53:03;CART
7;2022-07-29T06:56:55;2022-07-29T07:22:35;BABY_CRIB
8;2022-07-29T19:21:19;2022-07-29T03:35:55;CART
9;2022-07-29T04:49:54;2022-07-29T03:39:20;CART
10;2022-07-29T03:06:32;2022-07-29T18:32:23;BABY_CRIB
